"","WorldID","spines","no_spines","extinct","extant","plant_richness","MeanTemp","legthDry","meanBA","continent","country","perc_spines","perc_no_spines"
"534",13271,0,4,0,0,4,17.385015625024,12,0.006118106,"OC","Australia",0,1
"536",13273,0,9,3,0,9,17.9152201796478,12,NA,"OC","Australia",0,1
"537",13274,1,8,6,1,9,17.9860299066927,12,0.000833652,"OC","Australia",0.111111111111111,0.888888888888889
"538",13275,0,10,3,1,10,18.42391512259,12,NA,"OC","Australia",0,1
"539",13276,0,4,4,1,4,18.75488202197,12,NA,"OC","Australia",0,1
"541",13278,0,6,3,1,6,19.5835140475687,12,NA,"OC","Australia",0,1
"542",13279,1,15,5,1,16,18.7488757838993,12,NA,"OC","Australia",0.0625,0.9375
"543",13280,1,5,5,1,6,19.7899213203094,12,NA,"OC","Australia",0.166666666666667,0.833333333333333
"545",13282,1,4,1,1,5,19.1512892906021,12,NA,"OC","Australia",0.2,0.8
"546",13283,0,9,2,1,9,19.1086871345088,12,NA,"OC","Australia",0,1
"549",13286,0,16,5,1,16,18.7963679796495,12,3.86e-05,"OC","Australia",0,1
"550",13287,0,10,5,2,10,18.4572405776138,12,6.17e-05,"OC","Australia",0,1
"551",13288,0,5,6,2,5,18.6273271073335,12,0.000757749,"OC","Australia",0,1
"552",13289,0,11,11,3,11,18.1036084914357,12,0.003840526,"OC","Australia",0,1
"553",13290,0,18,17,3,18,16.3389543597053,12,0.000274675,"OC","Australia",0,1
"554",13291,0,7,22,3,7,16.3515802043789,11.9222222222222,0.000632215,"OC","Australia",0,1
"555",13292,0,8,23,3,8,13.3625864712697,9.56666666666667,8.09e-05,"OC","Australia",0,1
"556",13293,0,14,20,3,14,16.4343003219778,5.22222222222222,0.00150462,"OC","Australia",0,1
"560",13431,10,0,2,1,10,2.58448412524122,9.925,0.000497426,"AM","Argentina",1,0
"561",13432,7,2,11,1,9,16.0964682430597,12,0.00022576,"AM","Argentina",0.777777777777778,0.222222222222222
"562",13433,7,0,16,1,7,16.6244523529022,12,0.001302628,"AM","Argentina",1,0
"563",13434,4,0,20,1,4,18.821230170916,11.375,0.000574815,"AM","Argentina",1,0
"564",13435,13,1,19,0,14,21.0093729773779,10.325,0.000842562,"AM","Argentina",0.928571428571429,0.0714285714285714
"565",13436,12,0,19,0,12,17.8589523583367,8.1,0.000715437,"AM","Argentina",1,0
"566",13437,11,1,21,0,12,18.8378730610439,7.4125,0.002117883,"AM","Argentina",0.916666666666667,0.0833333333333333
"569",13440,3,1,31,0,4,19.1757778078412,5,0.000876582,"AM","Argentina",0.75,0.25
"570",13441,5,5,31,0,10,19.2900635346912,5,0.002210227,"AM","Argentina",0.5,0.5
"571",13442,6,8,30,0,14,19.2033571680765,4.85,0.000938674,"AM","Argentina",0.428571428571429,0.571428571428571
"573",13444,8,6,28,0,14,18.891396813317,2.9125,0.00090391,"AM","Brazil",0.571428571428571,0.428571428571429
"574",13445,6,8,28,0,14,18.6676190264263,1.6375,8.54e-05,"AM","Brazil",0.428571428571429,0.571428571428571
"576",13447,2,5,29,0,7,18.4344682937198,0.1125,1.65e-05,"AM","Brazil",0.285714285714286,0.714285714285714
"577",13448,4,7,29,0,11,18.2642143397861,0.55,0.000900375,"AM","Brazil",0.363636363636364,0.636363636363636
"578",13449,1,12,28,0,13,18.9427223154098,1.025,0.001909127,"AM","Brazil",0.0769230769230769,0.923076923076923
"579",13450,0,4,28,0,4,19.5876746148912,2.3875,0.002434695,"AM","Brazil",0,1
"592",13530,5,0,7,6,5,14.8684761778514,7.1875,0.047544409,"AF","South Africa",1,0
"594",13615,2,5,13,1,7,19.351277812322,9.9625,NA,"OC","Australia",0.285714285714286,0.714285714285714
"596",13617,7,44,13,1,51,18.5421904892392,12,0.002341961,"OC","Australia",0.137254901960784,0.862745098039216
"597",13618,0,18,3,1,18,18.9031824911208,12,0.006554272,"OC","Australia",0,1
"598",13619,0,7,3,1,7,18.897698421781,12,0.002969166,"OC","Australia",0,1
"600",13621,1,27,3,1,28,18.6540714613597,12,0.014773631,"OC","Australia",0.0357142857142857,0.964285714285714
"601",13622,0,13,3,1,13,18.9920555343325,12,NA,"OC","Australia",0,1
"602",13623,1,13,3,1,14,18.7708491879418,12,0.000419043,"OC","Australia",0.0714285714285714,0.928571428571429
"604",13625,0,14,3,1,14,18.9602937430427,12,0.015079237,"OC","Australia",0,1
"607",13628,0,4,3,0,4,18.4588650794256,12,NA,"OC","Australia",0,1
"608",13629,0,7,0,0,7,18.3914603178842,12,NA,"OC","Australia",0,1
"609",13630,0,4,0,0,4,18.3245158840361,12,NA,"OC","Australia",0,1
"610",13631,1,9,0,0,10,18.5199444328792,12,NA,"OC","Australia",0.1,0.9
"611",13632,0,9,0,0,9,18.7905873699794,12,NA,"OC","Australia",0,1
"612",13633,0,6,3,0,6,18.727809565862,12,NA,"OC","Australia",0,1
"614",13635,0,6,2,1,6,19.4763889277927,12,NA,"OC","Australia",0,1
"616",13637,0,4,0,1,4,20.0160794182429,12,NA,"OC","Australia",0,1
"618",13639,1,9,2,1,10,19.4249682800354,12,NA,"OC","Australia",0.1,0.9
"619",13640,1,10,2,1,11,19.7415872824381,12,NA,"OC","Australia",0.0909090909090909,0.909090909090909
"621",13642,1,9,0,1,10,20.5740080019027,12,NA,"OC","Australia",0.1,0.9
"625",13646,1,10,5,3,11,19.9424126189096,12,0.002701394,"OC","Australia",0.0909090909090909,0.909090909090909
"627",13648,1,12,6,2,13,19.7419205997104,12,0.000180439,"OC","Australia",0.0769230769230769,0.923076923076923
"630",13651,0,9,16,3,9,16.2028253652936,11.7875,1.98e-05,"OC","Australia",0,1
"631",13652,0,10,21,3,10,13.212936504909,10.8,0.002439513,"OC","Australia",0,1
"632",13653,0,13,21,3,13,15.0950555398729,6.125,0.007479392,"OC","Australia",0,1
"638",13793,5,2,12,1,7,14.7380208306206,11.9,0.004050521,"AM","Argentina",0.714285714285714,0.285714285714286
"641",13796,5,0,18,0,5,21.0059214111322,9.51111111111111,0.00422292,"AM","Argentina",1,0
"642",13797,8,1,28,0,9,19.0872035442254,7.93333333333333,0.008285374,"AM","Argentina",0.888888888888889,0.111111111111111
"645",13800,8,0,33,0,8,19.7473557728987,5,0.004559594,"AM","Argentina",1,0
"646",13801,3,1,33,0,4,19.7957051384143,5,0.002493297,"AM","Argentina",0.75,0.25
"647",13802,6,2,30,0,8,19.6578686709587,4.98888888888889,0.002510887,"AM","Argentina",0.75,0.25
"648",13803,14,18,29,0,32,19.9123557657768,3.32222222222222,0.007559406,"AM","Argentina",0.4375,0.5625
"649",13804,8,2,29,0,10,20.0132452888367,2.38888888888889,0.004221571,"AM","Argentina",0.8,0.2
"650",13805,3,3,29,0,6,19.779663484066,1,0.011824451,"AM","Brazil",0.5,0.5
"651",13806,1,4,29,0,5,19.3550560394923,0.377777777777778,0.001349694,"AM","Brazil",0.2,0.8
"652",13807,2,4,29,0,6,18.856089720512,0.0111111111111111,0.007959838,"AM","Brazil",0.333333333333333,0.666666666666667
"653",13808,2,5,29,0,7,18.6871394492113,0.2,0.007438069,"AM","Brazil",0.285714285714286,0.714285714285714
"656",13811,0,4,27,0,4,19.7686057381141,1.2,0.00297152,"AM","Brazil",0,1
"674",13976,9,27,13,1,36,19.4754967768987,11.6888888888889,0.002472461,"OC","Australia",0.25,0.75
"675",13977,1,21,11,1,22,19.6798157247213,12,0.000939484,"OC","Australia",0.0454545454545455,0.954545454545455
"676",13978,4,16,2,1,20,20.2364903650223,12,0.015304492,"OC","Australia",0.2,0.8
"677",13979,0,10,1,1,10,20.0503044538009,12,0.004971548,"OC","Australia",0,1
"680",13982,0,8,1,1,8,19.7871954763547,12,0.001833612,"OC","Australia",0,1
"681",13983,0,16,1,1,16,19.4126762620914,12,0.018423356,"OC","Australia",0,1
"682",13984,0,8,1,1,8,18.9207772210622,12,0.035335004,"OC","Australia",0,1
"683",13985,1,14,2,1,15,19.2188140273094,12,0.020117011,"OC","Australia",0.0666666666666667,0.933333333333333
"684",13986,0,7,2,1,7,20.0019711323273,12,0.002288244,"OC","Australia",0,1
"685",13987,0,4,3,1,4,19.843349356529,12,0.001455277,"OC","Australia",0,1
"686",13988,0,8,3,1,8,19.3258012190843,12,0.002707737,"OC","Australia",0,1
"688",13990,0,5,3,0,5,19.0918429992138,12,NA,"OC","Australia",0,1
"690",13992,0,12,0,0,12,19.6267468197223,12,NA,"OC","Australia",0,1
"691",13993,0,10,0,1,10,19.8507452220489,12,NA,"OC","Australia",0,1
"695",13997,0,5,0,1,5,20.7409855954158,12,NA,"OC","Australia",0,1
"696",13998,0,5,0,1,5,21.0025640128515,12,NA,"OC","Australia",0,1
"698",14000,0,5,0,1,5,20.797243557985,12,NA,"OC","Australia",0,1
"699",14001,1,3,0,1,4,21.1158494334954,12,NA,"OC","Australia",0.25,0.75
"701",14003,0,6,0,1,6,21.0182930319737,12,7.96e-05,"OC","Australia",0,1
